Date,Accident Type,Sector (others only),Cities,Highways,Killed,Injured,Reported Cause (detail),Cause Tags,Times Reported,Reported By,Time of Day,Victim Gender,Victim Age(s),Severity,First Reported,Last Updated,Headline,Headline (English),Link
2026-08-20,roadway,,Karnataka,,5,23,,,4,Eenadu; IBTimes India; deshsewak.org,,Male,,Fatal,2026-08-20,2026-08-20,"Five killed, 23 injured in separate road accidents in Karnataka - IBTimes India","Five killed, 23 injured in separate road accidents in Karnataka - IBTimes India",https://news.google.com/rss/articles/CBMikwFBVV95cUxQdXJFRkVCaEU5UnpSNnRRLUpucm5Ea05pdHFKb0tBRWNuZ1ZYaGNndWRhN0YzRlVRTlNha2ZXSmNpd0lueTZWR09WV0NfdE9vNGIxZ3JrVkFyUkFUM19QZTV2dUh6MllqREVPcmtXa205TVRhbFJsUFZPYnl6V3pqQV9LX1hTWmpfQ3M5dTlsNnFyNlU?oc=5
2026-08-20,others,unspecified,Bengaluru,,1,,,,1,,,Male,72,Fatal,2026-08-20,2026-08-20,72-year-old Bengaluru man falls to death from his apartment,72-year-old Bengaluru man falls to death from his apartment,https://www.thehindu.com/news/national/karnataka/72-year-old-man-falls-to-death-from-18th-floor-of-his-apartment/article71353667.ece
2026-08-20,others,unspecified,Tirunelveli,,,,,,1,,,Female,,Not stated,2026-08-20,2026-08-20,Death sentence for preacher found guilty of sexually assaulting four minor girls in Tirunelveli,Death sentence for preacher found guilty of sexually assaulting four minor girls in Tirunelveli,https://www.thehindu.com/news/national/tamil-nadu/death-sentence-for-preacher-found-guilty-of-sexually-assaulting-four-minor-girls-in-tirunelveli/article71368043.ece
2026-08-20,others,factory manufacturing,Barajora,,,3,,explosion blast,1,najarbandi.in,,,,Injury only,2026-08-20,2026-08-20,"বড়জোড়ার ইস্পাত কারখানায় ভয়াবহ বিস্ফোরণ, গলিত লোহায় ঝলসে গুরুতর জখম ৩ শ্রমিক - najarbandi.in","Horrific explosion in Barajora steel factory, 3 workers seriously injured due to molten iron burns - najarbandi.in",https://news.google.com/rss/articles/CBMifEFVX3lxTFA0TVBfZDFEQk9Da1BHRm12OE1vTlp5bHY3ZDZncloxUHBpb1BnZDhsdGdBSXJyNDJWT0M0RW5xN2ZNNWRVdHdYVDA3SHMwSmpZMUlrYmU5VXJqVGhHYW5UZXo1NjVvUzI3dUc4TklFd04tQ1V3SDdkSUFDZGk?oc=5
2026-08-20,others,unspecified,Telangana,,27,,,,1,,,Male,,Fatal,2026-08-20,2026-08-20,Telangana Boy Stabbed Principal 27 Times. How His Lavish Lifestyle Busted Him,Telangana Boy Stabbed Principal 27 Times. How His Lavish Lifestyle Busted Him,https://www.ndtv.com/india-news/nalgonda-murder-case-telangana-student-stabbed-principal-27-times-how-a-babu-word-busted-him-11934059#publisher=newsstand
2026-08-20,roadway,,Visakhapatnam,,,,,,1,Andhrajyothy,,Male,,Not stated,2026-08-20,2026-08-20,విశాఖపట్నం జూ పార్కు వద్ద రోడ్డు ప్రమాదం.. కానిస్టేబుళ్లకు తీవ్రగాయాలు.. - Andhrajyothy,Road accident at Visakhapatnam Zoo Park.. Constable seriously injured.. - Andhrajyothy,https://news.google.com/rss/articles/CBMihwJBVV95cUxPdG1QTmlBS3FHdUZZazdkb0w0SkZwdm1JdV9MZzVmdDBWblZZZl9KZHdkdGo2NkdjQVQ5VEVqLWN3a09wMHFZTTdlb0ljOGVkUHo2Q0t4anVxdklxWDdmX3IwdE04WVhrRWVqNlhlbFhfN0tkZ1VVU0hkOUdwT1huOFlRUUU0MjY1cHJvc1dGdjZzWURQd1M0NkRrZTdRNjFTQUhXd3RVR3F0VDh0eXVVcy1kSGc2NlJ6UGMzeGhZUlQyZDZCWnl1OVFha1JPLUNqV29UdXlPQmNxaTVlYTZHTG5TLTgweFBReUd4Rm1lX0RsM2tjYks3OUxjck85TGZVak1jcXdvWQ?oc=5
2026-08-20,others,unspecified,Bhavnagar; Gujarat,,7,,,,1,,,,,Fatal,2026-08-20,2026-08-20,"Spurious liquor deaths in Bhavnagar, Gujarat: death toll rises to seven, 30 hospitalised","Spurious liquor deaths in Bhavnagar, Gujarat: death toll rises to seven, 30 hospitalised",https://www.thehindu.com/news/national/gujarat/spurious-liquor-deaths-in-bhavnagar-gujarat-death-toll-rises-to-seven-30-hospitalised/article71368002.ece
2026-08-20,train,,,,,,,,1,,,,,Not stated,2026-08-20,2026-08-20,Trains To Run At 100 Kmph On Katra-Banihal Rail Section In J&K,Trains To Run At 100 Kmph On Katra-Banihal Rail Section In J&K,https://www.ndtv.com/india-news/trains-to-run-at-100-kmph-on-katra-banihal-rail-section-in-j-k-11934240#publisher=newsstand
2026-08-20,roadway,,Himachal,,3,8,,,1,ETV Bharat,,,,Fatal,2026-08-20,2026-08-20,"हिमाचल में 2 ट्रकों के बीच भीषण टक्कर में 3 लोगों की मौत, 8 घायल - ETV Bharat","3 killed, 8 injured in massive collision between 2 trucks in Himachal - ETV Bharat",https://news.google.com/rss/articles/CBMi5AFBVV95cUxOcEJhREdoVUJ1SWlkV1U3TXpTdTdWZDNic2pWamp1aV9fWXo1cXlmckRDVWxhXzEwOS1Eb0dDWWgyQUd4MHZGVUlQc3A2TTI0RjM1S0Y4aEpLTVBpSDMyNzl6ZFdrUjRHS3ZxVTFtZUNDZEZjTV9sUnFVV1pQVE5NaVJ0ckI2S1I2TV9RanM4Nm9zeldUVUczU1Nwc0dxd0VBMEZVMGdjcEtxeTktYm5NdTJoLU1MeW1OdWtjMktJcTRhV2lqVk1BUndfR1hFMzA5YW9YeGRRbGFTZXhJVjlRczZlSFTSAeoBQVVfeXFMUDBDT1ZMdTN1VmdYX0N0My1zS0kzLVFtWE1Zd1Z6eXVGQ2NGRFkxdW43VE1uSmkzbzBxOWxPTXd4QlFaLXJjZjVPVnpOS1hWRlQweEtZa2l6VmVRY1FaYmpsOXktaldYV1F3Vjk2N2lqLWRtQTFrSzBDQTRMeDF2ZERTM1lLLXRGV1BBMTY5RmUzWnVqVEwydjNNc3E2V2MwVk43TUZVSE9HdHpSNmN3dHExUzdRSTE3TFQ3Z2NKNkFhaUFkaFF2b2hQeUU3OHF6TTlFY0NFMFFERzlqYVJ3cmU5Zk5WZURJamFR?oc=5
2026-08-20,roadway,,Chandigarh,,3,8,,,1,Amar Ujala,,,,Fatal,2026-08-20,2026-08-20,"HP Road Accident: चंडीगढ़-मनाली हाईवे की टनल के अंदर दो ट्रकों में टक्कर; तीन लोगों की मौत, आठ घायल - Amar Ujala","HP Road Accident: Collision between two trucks inside the tunnel of Chandigarh-Manali Highway; Three people died, eight injured - Amar Ujala",https://news.google.com/rss/articles/CBMixwFBVV95cUxQM0ltVWUzcEZ6WWpTMUFHemtpUnBGTUVkM2VmazZKNDdSLS1jNk9HVEZTby1PS0pnMmdGQzNCOFg4bzRQd2dpUGIwWGtmdHNwbWR4X3RkQzhpMXFiM2h1cVptSk52V1NsR3VQb1M0ZjFTWjMxZFRvTXJYMk5hWUlSVUNfQUszc1Fxb2lvd3FHOW1YWmtidXgyTDR1YUVsVzFUck5SSzJ1eFVPM2VkRWVDMUphUDhOR2EzdDBGYW5zZUhlSHQtdTNr0gHMAUFVX3lxTE4zc0lVT0F4cUJna01fU2RHZGtYb1hBV09BcEFUODVWZWpFdXJWZWh3REl5azlMdjNFbHdJWjlsVWpCODUyclFGU3JHN2F3YnRHUFJQSnBhZUZFYWJhcTBlbFRERzdBdnE2VThYbHllM2dwNEZHaFV1bnQ0MDdzV0ZEYmdZQ2VRVmp6Vk1qTmVZWTgzb1pYOVRDcU9QMldwZU9vNUJoRnhRSUJ6TVJUQ2FQc2FpWDRFUGtLaVRkSXJTVVZHN0lQS2kwbUJ4TA?oc=5
