Priority,What looks wrong,Detail,Date,Accident Type,City / Place,Killed,Injured,Headline,Link
HIGH,possible duplicate of another row,"same day, type, place and toll as: Terrible accident in Gujarat! Two Maharashtra ST buses colli",2026-06-02,roadway,Gujarat,7,41,Gujarat: 7 killed in head-on collision between buses - Daily Thanthi,https://news.google.com/rss/articles/CBMi7wFBVV95cUxOSWdWSExURzJNX3VwckYtYWVMeFFfZmMxYVlfTkk0S1BiWWNtQ0hwdGJtSlVTVmRURDhtMjZ0WG9scXhHUmpVazNGdW1hOVh1eTBpblJGNE9rd2IwcU54QnNUTGx4QmMxeFN3UUZhUXhucFY2RGkzZUhFbXBjNWd4elRjSS11cGZQRncwcFpwWmZfTFRyMjFiSlNFZGRzR1VTN1pUV1ZTUkZOanZ1aTlOQUJ6SXBzLURkQXBkS2JackpROEdYZFJ3MjZESWZhYUtGWjhzVXo4Qm43WGhQRTBsQlNETFVoTFMyWWxndkFISdIB_AFBVV95cUxQanYzUVM1RUUxdUVqWTNwYjdDTEtRRjE0UVNVZFN3N3ZXZUV1SjZqZUl1NXdYYjNvZVlXV0JTVUVMNURtcjhJSW5Hc1ZQeXliNEt4WmpqYlZKbWhVS0ZiMXo0cWFrX1duc18wa05mMmRBdVh2clZlQl9OQWFzOGM5cmk2eXBTbFJ0T1JMTVFDRUwxd0lSemV2djFZRGpwWU5haHhZX2tkbEdkeVR1WFR4djJWVlE3bWsybUY3SkJCWlluRkwyRjJpVjlkeVU0Y1FxbTVCU3ljenlVT0NPV2hoWGo0d2VOcU9SM0htaE5kNkpsSVNpQkczLU1ONEc?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Major train accident in Ludhiana avoided The Katra Express t",2026-06-06,train,Ludhiana,,,A major accident occurred in Ludhiana with a train going to Vaishno Devi - Zee News,https://news.google.com/rss/articles/CBMiswFBVV95cUxQLXlrQkFmSktsM21fZ0lNVGlZZVFxcGU3SVAwaGtpYjlrOHg1RnZjNEQxblJIU3dBLVBfX0ZmUldtSEdudVhkUUxsT2N6aTJ1VzJhV19JMWxPLXFISWJaZnJLQVkzZENabnVDZWhWUGJTU0JKT0w3aWtkY0RtMGlmMGlYZU54SUl3R25aazVHcjNtZ0Nrc3YxVVRsektfSmxjZ2JXOTlPeDdnQ2FSSEFtam53RdIBuAFBVV95cUxPSEtURnozRXdjZUdqeVdqbGJoN2RJRUNKSTFFU3RpaE9rQkxPSHZnSVZvd05DbUpJQ2lwaFBTZHlkV3kzNERpeTMxdHkyMzRKanVMTGx1dFRXa3dMZUNFc2l5OTRidzJhQU9MMS01SmppYnhRS296RGRuRUxuN2NWSkRzaUNOeEhrSWM3THEtejN2U1Rmcm00cUlWd2hmVUh5T3FyV0p6ZWJtQzdVLVdJR0xMMFotUTZO?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Big accident! Passengers Jump From Train As Rumor Spreads In",2026-06-14,train,Madhya Pradesh,4,,Fatal train accident in Madhya Pradesh.. Pathalkot Express collided with four people killed - Andhrajyothy,https://news.google.com/rss/articles/CBMi2AFBVV95cUxQU3h4WXdBbHM2X3VuTDVoSERVU0NUYjJTV2xDSmppSC1laUtjdXBRNUx3aE4weU5sckg3c1VLRnB4QWZQUlFNeXRtOERCblJRemVBM2toS1VwU2NsUWluMm53MWlEMms2TkpHaEgtSTdNRkZwcjh5bmRTSHZxRjk3UDZQSDZwakI4STZaeDY3QTZ3eEpBSEMtTUp6QmVmVnFPUFRSdE9lTWkzZDY1M0VwS3BCNkpualJTaGFIZnQ5UXpBRUFHRWUxSEd5bmt6WmF1MXp5Z2daaFA?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Rajasthan: 8 dead, 24 injured after bus-truck collision spar",2026-07-01,roadway,Rajasthan,8,8,Eight killed in road accident in Rajasthan; A passenger bus and a lorry collided and caused a fire accident..! - polymernews.com,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQUnhtOHhyeGJaYmNzUW5BZmpvY1ZtcEZWWVB5ZEhLdnNBRHlIcm9QUXRhM0lTaVljWHJoZXZIYlNkV0FzWHZkUWRlNGl6UjFUa2RjQnJzZTduVWthZ1ZpN0tld3dJaGQ3TE83LUFoal9JTXE0ektiYWtTTlNOa1NQcmJIbnVNTURFZS1DSFkxNmJrLU9kWjRxRVpaTHpjUzRaU2ZOZ2czOE1TSzh0STdsNTljUmxBQ2xqQm1XN0hvWHlhVEJCMzhOdGh1c1hVckw1TnprWkVtalFTQQ?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: 1 dead, several trapped after building collapses in Delhi's ",2026-07-08,old structure collapse,Delhi,1,,Monsoon havoc: One dead in Delhi building collapse; several feared trapped after similar incident in Pune - Deccan Herald,https://news.google.com/rss/articles/CBMizAFBVV95cUxPdTY0YjFYMzVNVFhYNTZWSVF2clFLQWtrV2xGc0twaFJLc3dTUEZ5bFJ2bU95MFpzaURiQnJ4cThXYVNMaTlISTh3eWtFNzBSdGlFWFNEbGpLRnB0T0hWUnp5VHZnY3Q4WnlQZVB3N2JjRkFXZEdaNG9WVDI5MmNJSEJ4YUFNQ3U3WmRhZC1MVHlMRlFrRW5JNjhEYmVlZWUzOEwxLVVlUDBRWE82RkVjMEt4cVFsNXBkWThnYjJrYks3cUMtVzk5VFZVSU8?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: West Bengal: School van collides with passenger train in Mur",2026-07-17,train,West Bengal,3,,"West Bengal: Train hits vehicle carrying school children, 3 dead including 2 children - maalaimalar.com",https://news.google.com/rss/articles/CBMilwJBVV95cUxQdWpuRFlwdFM3OFh4NV9QMVpPOC1Cc3VqLTB0b25DR3FjSExPbXA2Rzh3eFBTazJpY2k1bEwyVEtYU3JiLS1xbkJzdGZsM1RqV1ZMVGNkeTFmbUh4X3ZsUml6SkdSbTJHcmJlSDN3UjJXWTk0Mkd1azZrSHZCODEwYUVkdFJ6QjZ1UjF0dTdoLUlRUDdRdGlWRzZHRE1qaVFkYkJDNjhNLUNiLTdoZUNKSUF4dVVpeUlUUWI5S3FfWk5IV0ludWJtX0UycnF2VTd4OVplVFRWbTRGbWREbGFhTGN1eV9FbWdNaUpITmhKMnZnZFplR2JxSEI1aHpXLXlpdlVTYzZrNHp5VFJkOThSXzVrMk1jTFXSAaQCQVVfeXFMUHd5dkJjZmFLZnNNbGdGMEdYdWVyWnk3VjZzTUZIZTBQUU5SSG1mSm9lX1VwbzFqbkJqUEk3cjFRbktGOWk3UGdDU0RzS2MwQ3BPa1lyTFhSUGxnbXJNYWhlSUZfU0JZaGdQUnJJMkt0OC05dFFZRzN4bE9KYl9iN0paeVNENEIxbERYWXNEcmZPemFwekpVV19xT2lLalEzcGl3QUdmblBtcGdZUmJUNHZVMEMzT2N0ZGNzd0xzSW5IRGtuZ2dTRVJLdS1LSUQ5bG9oQWhvZWZwZzd3UlBlVm05b1pyTU14QjFlWkFuSEROeHBqZzI5N1dJSEs3YXl4aVo0SXZ4RE9fZUt0YWQyX2FzR3V1aWV5cm0xQ0ZSNHlDMTZfVg?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Serious bus accident in Kerala.. One dead, more than 26 inju",2026-07-26,roadway,Kerala,1,,Bus accident in Kerala.. One dead (Video) - Lokal Telugu,https://news.google.com/rss/articles/CBMilwFBVV95cUxPQjJFYVZNMmVFU3J0Sml6QUFkTEIwVnNwdUpKWUw4dURWTzRYQkxIcnh2WXNhUE11bHduM3BZZjI3WmtBcFhGR285Y3ZHa09QcW5mNXlLZTVBN0gxb09WSmtqemxUY25XQlFVMEJhbFlEQjBLSDhfTjRKUkZtRERtZ09abTJaTnlfZFA2eWJvbmVwbG1tRERV0gGcAUFVX3lxTE5mU0VVOFMwSnNaZHAtRGJ1dGp2OF8yY19xbFNnWURleV9CU0dmSkh3NjZHNGx0WTlXbURUaXkwQ29nX1Y5Y2dPQ2diWDZDTkRUZEpxRVNIOFlQMV9ON2Y5czU1dF9kWjRWbGdrMW81bk4tZHVGLWpuYXd0QWNBUVNvbWVlWE80LVQzWTVUdjNKYm5OZkQxYlVRMVk3LQ?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: 9 killed as 4 - storey building collapses in Bhiwandi near M",2026-07-31,old structure collapse,Bhiwandi,9,3,"A four-storey building collapsed in Bhiwandi; So far 9 bodies recovered, 3 seriously injured, many feared trapped under debris - Saamana",https://news.google.com/rss/articles/CBMipwFBVV95cUxQempLOHBjTlZ6SFVqM2NKdi16OWlkNEVrbTRoMWF1Q3hDazR2cHlyZDliY1hPUmN4cXFocWdpOUdYSFJCLUFNTm5aei11d2lwQ01vTlk0S3BNTHZycDNhVG0yakkxM2dsekEySmN2U01CMU1ZNEdrQjNuckdOMG1EdnJrTXl1bUppamhIaFJXTUFNTFN6V0E4MUxic3RvOXdiSkxpeTk0RQ?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: KSRTC bus overturns in Bengaluru: Driver, conductor killed -",2026-08-08,roadway,Bengaluru,1,,"lost control and flipped upside down; KSRTC bus accident in Bengaluru, driver and conductor killed - ETV Bharat",https://news.google.com/rss/articles/CBMiogFBVV95cUxQSEtGVVJObFRqcGdsUW10WDRhNms3ZGVWWVNVOHJlVFRPbDNqbk5oc3BNMHliSGZVdVNNMFgwdFZfazg4S1pVdVhfZUZQMGlfNkdZa2FNOHkycVpRUkZJdUlDZDVfLUxRMEFEejQ2S3lqSXpFYWNoREplZlBwWnVUV1VtT2RZQmhZYWs1MUpub1dGUWZyNFJ6X0dZdjZCTWZDcHfSAacBQVVfeXFMT19GbFkzZFBWZTBzSkhEWnFQaWhTejdqaFdFaXBpOWY0a3dmNktIbFJJZl9idGFFZG00TXNtRzEyMkxrdHNhVmJpemlnNTVKU1BpRDF5c2tCZWplelQyX0R3TnlKX0c2WHBwT0d0ZWhPZl9qOE9SNmRqdUpTWFhVNktLUmMyMVBMSXdGY2Z0b0lmc05OM2FpbEpxaTIxaGQ4NHQzSmJ6YWs?oc=5
HIGH,possible duplicate of another row,"same day, type, place and toll as: Bus Accident: 7 killed, 11 injured after bus overturned - Na",2026-08-08,roadway,Himachal Pradesh,7,,"Video: Add time! Fatal accident in Himachal Pradesh's Chamba; Bus falls into valley, 7 dead - Lokmat.com",https://news.google.com/rss/articles/CBMiogFBVV95cUxOUVNBVkZsaHRsbjc1N2stUGtCNHBsS1R5d3dpTWpGcTN2bjU0YjFHZ21peXgwTHNSbWhLei0wdHBqdGUzRk55UGlDRVVJV2VQclV4RGRCazQtbFpYZkhHTFROeVp0c2FpR0Z6VHQyc2hNWWxLT082bVpTdjV3VUVnR0xIQl9zNXBBSERucDZRN183Q0dtNHhWTFlVX3poQ3cwZ0HSAacBQVVfeXFMTXlGUmx4Mmt1RjFnSTlCNjJxWTJ0U2ZZSFlpTnM5bzhMWkhJSkdoc3JhSUltLS01Yk4zYUdjWjhUOHRHV1JlWW45NU1vRGhubWlRWjFFcVJES2ZhVEZFYzhYbUxSZTJDMk1WS1dCOFk3c0FjdnBjWVQ3dWxPN1FRZzRLZEpxUXlzUnIza25iR2lTanBZbk83WG9neW1uOV9TMkR4aDlaeWs?oc=5
