City,Accident Type,Sector (others only),Number of Accidents,Near Misses,Fatal Accidents,Injury-only Accidents,People Killed,People Injured
Not identified,roadway,,206,2,60,38,386,742
Saharanpur,others,factory manufacturing,2,0,2,0,102,0
Not identified,train,,71,2,17,0,57,25
Not identified,others,factory manufacturing,21,0,7,6,57,30
Not identified,old structure collapse,,50,1,9,6,51,108
Not identified,others,unspecified,17,1,7,0,41,8
Rajasthan,roadway,,6,0,6,0,34,70
Not identified,construction ongoing,,14,0,6,1,31,30
Mumbra,train,,2,0,1,0,27,0
Mumbai,old structure collapse,,6,0,4,0,26,4
Karnataka,roadway,,8,1,5,0,22,32
Madhya Pradesh,train,,3,0,2,0,22,0
Gujarat,roadway,,5,0,4,0,21,102
Madhya Pradesh,roadway,,4,0,4,0,21,53
Not identified,port maritime,,3,0,2,0,21,0
Nawada,roadway,,1,0,1,0,20,0
Keshod,roadway,,1,0,1,0,19,0
Ahmedabad,roadway,,5,0,3,0,18,2
Vadodara,roadway,,4,0,3,0,18,51
Pune,old structure collapse,,4,1,2,0,17,0
Delhi,roadway,,2,0,2,0,16,0
Sirhind,roadway,,1,0,1,0,16,16
Chamba,roadway,,2,0,2,0,15,0
Punjab,roadway,,2,0,1,0,15,15
Bulandshahr,roadway,,1,0,1,0,15,15
Ghazipur,roadway,,1,0,1,0,15,0
Surat,roadway,,3,0,2,0,14,0
Himachal Pradesh,roadway,,2,0,2,0,14,11
Gorakhpur,roadway,,1,0,1,0,14,14
Sambalpur,train,,1,0,1,0,12,12
Jharkhand,roadway,,2,0,2,0,11,0
Mirzapur,roadway,,1,0,1,0,11,0
Maharashtra,old structure collapse,,3,0,1,0,10,0
Bhiwandi,old structure collapse,,1,0,1,0,10,0
Bhiwandi,others,unspecified,1,0,1,0,10,0
Junagadh,roadway,,2,0,2,0,9,0
Bhiwandi,construction ongoing,,2,0,1,0,8,0
Madurai,roadway,,2,0,2,0,8,0
Ahmedabad,others,factory manufacturing,1,0,1,0,8,0
Gwalior,roadway,,1,0,1,0,8,0
Visakhapatnam,others,factory manufacturing,1,0,1,0,8,0
Visakhapatnam,construction ongoing,,1,0,1,0,8,0
Banswara,roadway,,1,0,1,0,7,0
Dhule,roadway,,1,0,1,0,7,0
Ramgarh,roadway,,1,0,1,0,7,0
Tiruvallur,others,factory manufacturing,1,0,1,0,7,0
Morena,train,,2,0,1,0,6,0
Satara,roadway,,2,0,2,0,6,0
Hamirpur,construction ongoing,,1,0,1,0,6,0
Pratapgarh,old structure collapse,,1,0,1,0,6,0
Shimla,others,unspecified,1,0,1,0,6,0
Tamil Nadu,roadway,,1,0,1,0,6,41
Mumbai,roadway,,9,0,3,4,5,19
Not identified,aviation,,2,0,1,0,5,0
Balotra,roadway,,1,0,1,0,5,3
Coimbatore,roadway,,1,0,1,0,5,0
Etah,roadway,,1,0,1,0,5,0
Kolkata,old structure collapse,,1,0,1,0,5,0
Melur,roadway,,1,0,1,0,5,0
Rajasthan,others,unspecified,1,0,1,0,5,0
Surendranagar,roadway,,1,0,1,0,5,0
Uttarakhand,others,unspecified,1,0,1,0,5,0
West Bengal,train,,1,0,1,0,5,5
Nashik,roadway,,3,0,2,0,4,0
Rampur,roadway,,2,0,1,0,4,0
Andhra Pradesh,roadway,,1,0,1,0,4,0
Bathinda,others,unspecified,1,0,1,0,4,7
Dehradun,roadway,,1,0,1,0,4,3
Eluru,train,,1,0,1,0,4,0
Nalgonda,roadway,,1,0,1,0,4,0
Panruti,roadway,,1,0,1,0,4,0
Rohini,construction ongoing,,1,0,1,0,4,0
Sambhal,train,,1,0,1,0,4,0
