Reported Cause (standardised),Number of Accidents,People Killed,People Injured
Building collapse,231,328,149
Overspeeding,123,238,388
Overturning,121,242,690
Fire,68,203,112
Hit while on track,60,64,7
Driver lost control,59,101,178
Explosion / blast,53,414,65
Head-on collision,53,125,355
Derailment,49,7,11
Hit divider or barrier,41,56,49
Bridge or flyover failure,33,23,49
Slab or roof collapse,32,34,50
Struck by falling material,26,43,293
Electrocution,21,29,50
Pothole or bad road,18,13,13
Hit stationary vehicle,17,68,146
Crane failure,17,9,277
Brake failure,13,6,72
Wall collapse,12,19,8
Gas leak,10,25,7
Drowning,7,27,0
Level crossing,6,60,0
Shuttering / formwork failure,5,53,11
Boiler explosion,5,8,0
Cylinder or LPG explosion,5,7,35
Tyre burst,5,6,0
Excavation or trench collapse,5,4,40
Demolition failure,4,0,0
Drunk driving,4,0,4
Lift / hoist failure,4,0,3
Road cave-in or subsidence,4,0,0
Overloading,3,8,0
Vehicle fell into gorge or water,3,7,11
Wrong-side driving,3,2,0
Rear-end collision,3,1,2
Suffocation / toxic fumes,2,7,0
Fall from height,1,5,0
Scaffolding failure,1,3,11
Aircraft technical failure,1,0,0
Fog or poor visibility,1,0,0
Launching girder / segment failure,1,0,0
Wet or slippery road,1,0,0
Not stated,2347,5846,4221
TOTAL,3478,8091,7307

"Cause identified for 1131 of 3478 accidents (32%). Causes are as first reported, not verified.",,,
