City / Place,Accident Type,Number of Accidents,People Killed
Gujarat,roadway,23,19
Mumbai,roadway,21,143
Delhi,roadway,18,41
Pune,roadway,16,132
Ahmedabad,aviation,15,761
Gujarat,others,15,58
Ahmedabad,roadway,14,15
Bengaluru,roadway,11,220
Mumbai,others,11,81
Delhi,old structure collapse,10,4
Telangana,roadway,10,10
Maharashtra,roadway,9,618
Pune,others,8,18
Delhi,others,8,12
Bhiwandi,old structure collapse,8,48
Punjab,roadway,8,21
Surat,roadway,7,9
Delhi,aviation,7,0
Ahmedabad,others,7,57
Bengaluru,others,7,84
Rajasthan,roadway,7,25
Nashik,roadway,6,4
Mumbai,train,6,3
Bihar,train,6,7
Tamil Nadu,others,6,23
Punjab,others,6,24
Mumbai,old structure collapse,5,24
Howrah,train,5,0
Delhi,train,5,0
Jammu,roadway,5,69
Bihar,roadway,5,6
Morena,train,5,10
Assam,aviation,5,0
Jaipur,others,5,17
Chhattisgarh,others,5,222
Chamba,roadway,5,31
Chennai,roadway,5,0
Telangana,others,5,38
Gujarat,old structure collapse,5,6
Vadodara,roadway,5,11
Maharashtra,others,5,54
Dehradun,roadway,4,4
Hyderabad,roadway,4,0
Nagpur,roadway,4,71
Jaipur,roadway,4,11
Nagpur,others,4,49
Andhra Pradesh,roadway,4,13
Kerala,roadway,4,19
Jalandhar,roadway,4,15
Baramati,aviation,4,0
Dewas,others,4,11
Tamil Nadu,roadway,4,84
Salem,roadway,4,17
Karnataka,others,4,22
Maharashtra,old structure collapse,4,29
Mathrubhumi,roadway,4,1
Morbi,roadway,4,5
Bhavnagar,roadway,4,3
Amreli,roadway,4,0
Beed,others,4,0
Saharanpur,roadway,3,12
Lucknow,roadway,3,7
Indore,roadway,3,5
Bengaluru,train,3,10
Dhanbad,train,3,2
Bhopal,industrial,3,0
Ludhiana,others,3,4
Delhi,industrial,3,0
Bhopal,others,3,0
Chandigarh,roadway,3,1
Pune,old structure collapse,3,10
Kanpur,roadway,3,0
Mandi,roadway,3,0
Jharkhand,train,3,6
Ghaziabad,roadway,3,4
Haryana,roadway,3,2
Mathura,roadway,3,2
Varanasi,roadway,3,1
Patan,roadway,3,0
Pathankot,roadway,3,4
Bareilly,train,3,0
Prayagraj,roadway,3,10
Rishikesh,train,3,0
Ludhiana,roadway,3,10
Kerala,others,3,13
Kolkata,roadway,3,0
Mainaguri,roadway,3,5
Visakhapatnam,others,3,10
Solapur,roadway,3,124
Ratnagiri,roadway,3,0
Pune,train,3,0
Himachal Pradesh,roadway,3,15
Goa,roadway,3,80
Dubai,roadway,3,0
Coimbatore,roadway,3,2
Kerala,train,3,0
Madurai,roadway,3,13
Hyderabad,old structure collapse,3,14
Karnataka,roadway,3,4
Anantapur,roadway,3,0
Madhya Pradesh,roadway,3,46
Valsad,roadway,3,11
Surendranagar,roadway,3,3
Faridkot,roadway,3,6
Jharkhand,roadway,3,13
Bhiwandi,others,3,9
Sangli,others,3,11
Kolhapur,others,3,11
Faridabad,roadway,2,24
Gurugram,roadway,2,0
Chennai,train,2,0
Patna,train,2,0
Vijayawada,roadway,2,3
Bhopal,roadway,2,0
Jammu and Kashmir,roadway,2,26
Uttar Pradesh,roadway,2,50
Sonipat,roadway,2,46
Aurangabad,roadway,2,1
Una,roadway,2,0
Rohtas,roadway,2,5
Unnao,port maritime,2,17
Udhampur,roadway,2,42
Agra,train,2,4
Udaipur,train,2,0
Palamu,train,2,0
Jakarta,train,2,8
Prayagraj,train,2,5
Madhubani,train,2,0
Bhopal,train,2,5
Varanasi,aviation,2,0
Jorhat,aviation,2,0
Maharashtra,aviation,2,0
Jharkhand,others,2,7
Indore,others,2,5
Lucknow,old structure collapse,2,4
Srinagar,roadway,2,0
Ghaziabad,others,2,2
Panipat,roadway,2,0
Visakhapatnam,roadway,2,8
Uttarakhand,roadway,2,6
Israel,old structure collapse,2,0
Baharampur,train,2,0
Howrah,roadway,2,0
Arambagh,roadway,2,12
Bhiwandi,port maritime,2,9
Kalyan,old structure collapse,2,0
Bhiwandi,roadway,2,1
Sangli,roadway,2,2
Mirzapur,roadway,2,11
Baramati,roadway,2,0
Sangli,port maritime,2,2
Raigad,roadway,2,259
Kolhapur,roadway,2,2
Ulhasnagar,train,2,0
Virar,train,2,0
Panvel,roadway,2,70
Jalna,roadway,2,6
Trichy,roadway,2,7
Tiruvarur,roadway,2,0
Sivakasi,roadway,2,13
Agra,old structure collapse,2,0
Bengaluru,old structure collapse,2,10
Visakha,roadway,2,5
Kochi,roadway,2,0
Srikakulam,train,2,0
Kurnool,roadway,2,0
Eenadu,roadway,2,0
Saharsa,train,2,10
Rajasthan,others,2,0
Kalyan,others,2,0
Idukki,old structure collapse,2,0
Kozhikode,old structure collapse,2,0
Mathrubhumi,old structure collapse,2,0
Kozhikode,train,2,0
Kollam,roadway,2,1
Jamnagar,old structure collapse,2,0
Ramgarh,roadway,2,7
Palanpur,roadway,2,4
Bharuch,roadway,2,2
Kangra,roadway,2,0
