Month,Accident Type,Events,Events with a figure,People Killed,People Injured,Killed per event (avg),Largest single event (killed)
2026-08,roadway,216,140,656,446,4.7,193
2026-08,port maritime,15,8,165,281,20.6,148
2026-08,others,60,29,90,328,3.1,16
2026-08,train,67,21,81,52,3.9,12
2026-08,old structure collapse,20,10,66,22,6.6,19
2026-08,construction ongoing,3,2,2,0,1.0,1
2026-08,industrial,4,0,0,0,,0
2026-08,aviation,22,0,0,36,,0
2026-07,others,57,35,429,30,12.3,196
2026-07,roadway,151,61,393,508,6.4,83
2026-07,old structure collapse,59,21,142,4,6.8,11
2026-07,train,44,14,71,0,5.1,20
2026-07,port maritime,5,2,10,0,5.0,9
2026-07,construction ongoing,9,5,10,0,2.0,4
2026-07,aviation,15,1,10,0,10.0,10
2026-07,industrial,1,0,0,0,,0
2026-06,aviation,29,5,522,0,104.4,260
2026-06,others,88,40,435,37,10.9,260
2026-06,roadway,158,61,338,682,5.5,77
2026-06,train,25,5,245,80,49.0,235
2026-06,old structure collapse,34,7,33,13,4.7,8
2026-06,construction ongoing,7,3,15,21,5.0,8
2026-06,port maritime,3,1,2,19,2.0,2
2026-06,industrial,8,0,0,76,,0
