City,Accident Type,Sector (others only),Number of Accidents,Near Misses,Fatal Accidents,Injury-only Accidents,People Killed,People Injured
Saharanpur,others,factory manufacturing,2,0,2,0,102,0
Rajasthan,roadway,,6,0,6,0,34,75
Madhya Pradesh,roadway,,5,0,5,0,31,53
Gujarat,roadway,,5,0,5,0,28,133
Chamba,roadway,,4,0,4,0,27,11
Karnataka,roadway,,7,1,6,0,23,27
Surat,roadway,,4,0,4,0,22,0
Madhya Pradesh,train,,2,0,2,0,22,0
Mumbai,old structure collapse,,3,0,3,0,20,4
Jhajjar,old structure collapse,,1,0,1,0,20,0
Vadodara,roadway,,5,0,5,0,19,53
Pune,old structure collapse,,4,1,3,0,18,0
Ahmedabad,roadway,,2,0,2,0,17,0
Delhi,roadway,,3,0,2,1,16,6
Madurai,roadway,,3,0,3,0,14,41
Himachal Pradesh,roadway,,2,0,2,0,13,0
Jharkhand,roadway,,2,0,2,0,11,0
Mirzapur,roadway,,1,0,1,0,11,0
Bhiwandi,old structure collapse,,1,0,1,0,10,0
Junagadh,roadway,,2,0,2,0,9,0
Punjab,roadway,,1,0,1,0,9,15
Bihar,roadway,,2,0,2,0,8,4
Bhiwandi,construction ongoing,,1,0,1,0,8,0
Gwalior,roadway,,1,0,1,0,8,0
Visakhapatnam,others,factory manufacturing,1,0,1,0,8,0
Visakhapatnam,construction ongoing,,1,0,1,0,8,0
Mumbai,roadway,,7,0,5,2,7,16
Banswara,roadway,,1,0,1,0,7,0
Ramgarh,roadway,,1,0,1,0,7,0
Tamil Nadu,others,factory manufacturing,1,0,1,0,7,0
Tiruvallur,others,factory manufacturing,1,0,1,0,7,0
Kolkata,old structure collapse,,2,0,2,0,6,3
Satara,roadway,,2,0,2,0,6,0
Hamirpur,construction ongoing,,1,0,1,0,6,0
Morena,train,,1,0,1,0,6,0
Pratapgarh,old structure collapse,,1,0,1,0,6,0
Faridkot,roadway,,2,0,2,0,5,3
Ahmedabad,others,factory manufacturing,1,0,1,0,5,0
Balotra,roadway,,1,0,1,0,5,3
Coimbatore,roadway,,1,0,1,0,5,0
Etah,roadway,,1,0,1,0,5,0
Melur,roadway,,1,0,1,0,5,0
Surendranagar,roadway,,1,0,1,0,5,0
West Bengal,train,,1,0,1,0,5,5
Ludhiana,roadway,,2,0,2,0,4,0
Nashik,roadway,,2,0,2,0,4,0
Trichy,roadway,,2,0,2,0,4,7
Andhra Pradesh,roadway,,1,0,1,0,4,0
Dehradun,roadway,,1,0,1,0,4,3
Eluru,train,,1,0,1,0,4,0
Nalgonda,roadway,,1,0,1,0,4,0
Panruti,roadway,,1,0,1,0,4,0
Rampur,roadway,,1,0,1,0,4,0
Rohini,construction ongoing,,1,0,1,0,4,0
Sambhal,train,,1,0,1,0,4,0
Siddipet,roadway,,1,0,1,0,4,0
Surat,others,factory manufacturing,1,0,1,0,4,0
Udaipur,train,,1,0,1,0,4,0
Barnala,roadway,,2,0,2,0,3,2
Bengaluru,roadway,,2,0,2,0,3,0
Kollam,roadway,,2,0,1,1,3,1
Sangli,roadway,,2,0,2,0,3,15
Solapur,roadway,,2,0,2,0,3,10
Amravati,roadway,,1,0,1,0,3,0
Chhattisgarh,others,factory manufacturing,1,0,1,0,3,0
Gondia,roadway,,1,0,1,0,3,0
Jaipur,others,factory manufacturing,1,0,1,0,3,0
Jharkhand,others,factory manufacturing,1,0,1,0,3,0
Kawardha,roadway,,1,0,1,0,3,0
Latur,roadway,,1,0,1,0,3,0
Ludhiana,others,factory manufacturing,1,0,1,0,3,3
Maharashtra,others,fire,1,0,1,0,3,0
Mannargudi,roadway,,1,0,1,0,3,0
Odisha,roadway,,1,0,1,0,3,0
Perambalur,roadway,,1,0,1,0,3,0
Raipur,others,factory manufacturing,1,0,1,0,3,0
Sangareddy,roadway,,1,0,1,0,3,0
Sangli,train,,1,0,1,0,3,0
Uttarakhand,roadway,,1,0,1,0,3,1
Vijayawada,roadway,,1,0,1,0,3,0
Vrindavan,construction ongoing,,1,0,1,0,3,0
Yadgir,others,factory manufacturing,1,0,1,0,3,0
Delhi,construction ongoing,,2,0,2,0,2,3
Delhi,old structure collapse,,2,0,2,0,2,3
Firozabad,roadway,,2,0,1,1,2,30
Ajmer,roadway,,1,0,1,0,2,22
Andhra Pradesh,others,factory manufacturing,1,0,1,0,2,0
Bhadohi,train,,1,0,1,0,2,0
Champawat,old structure collapse,,1,0,1,0,2,0
Chandigarh,old structure collapse,,1,0,1,0,2,5
Chandigarh,construction ongoing,,1,0,1,0,2,0
Chitradurga,roadway,,1,0,1,0,2,26
Etawah,construction ongoing,,1,0,1,0,2,24
Faridabad,old structure collapse,,1,0,1,0,2,0
Greater Noida,old structure collapse,,1,0,1,0,2,3
Hyderabad,old structure collapse,,1,0,1,0,2,1
Hyderabad,construction ongoing,,1,0,1,0,2,2
Kannauj,others,factory manufacturing,1,0,1,0,2,0
Kotra,roadway,,1,0,1,0,2,0
Kullu,roadway,,1,0,1,0,2,3
Kunnamkulam,roadway,,1,0,1,0,2,0
Mahendragarh,roadway,,1,0,1,0,2,10
Malegaon,roadway,,1,0,1,0,2,31
Mohali,construction ongoing,,1,0,1,0,2,2
Muktsar,roadway,,1,0,1,0,2,0
Nagpur,train,,1,0,1,0,2,0
Narnaul,roadway,,1,0,1,0,2,11
Navsari,roadway,,1,0,1,0,2,5
Polavaram,roadway,,1,0,1,0,2,0
Pune,others,factory manufacturing,1,0,1,0,2,3
Punjab,construction ongoing,,1,0,1,0,2,0
Raichur,roadway,,1,0,1,0,2,0
Sirhind,roadway,,1,0,1,0,2,16
Sultanpur,roadway,,1,0,1,0,2,0
