Week Starting,aviation,construction ongoing,industrial,old structure collapse,others,port maritime,roadway,train,TOTAL Accidents,TOTAL Killed,TOTAL Injured
2026-08-17,4,0,1,1,35,6,51,15,113,364,520
2026-08-10,13,3,3,3,17,8,110,38,195,518,532
2026-08-03,5,0,0,14,8,1,48,11,87,165,107
2026-07-27,4,1,0,19,8,3,38,9,82,172,136
2026-07-20,3,0,0,2,11,0,25,13,54,282,85
2026-07-13,5,1,1,6,14,0,28,17,72,306,79
2026-07-06,2,4,0,28,15,2,39,4,94,139,71
2026-06-29,2,3,1,6,13,0,38,5,68,216,283
2026-06-22,2,3,2,10,17,1,48,1,84,364,173
2026-06-15,1,0,1,7,20,0,42,5,76,127,390
2026-06-08,14,3,4,4,40,0,34,11,110,482,140
2026-06-01,11,1,0,13,7,2,24,7,65,580,119
