Date,Language,Accident Type,Sector (others only),Reported Cause (detail),Cause Tags,Time of Day,Victim Gender,Victim Age(s),Severity,Source,Title,Title (English),Cities,Highways,Killed,Injured,Image URL,Link,Is Duplicate,Event Group,Article Text
2026-08-19,Hindi,roadway,,,,,Male,,Fatal,Jagran,"देवरिया में सड़क हादसे में दो युवकों की गई जान, सिर में गंभीर चोट बनी मौत की वजह - Jagran","Two youth lost their lives in a road accident in Deoria, serious head injury was the cause of death - Jagran
Two youth lost their lives in a road accident in Deoria, serious head injury was the cause of death    Jagran",Deoria,,2,,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300,https://news.google.com/rss/articles/CBMiugFBVV95cUxPSzlIcGljMkkyNFh1c1p0b0xlZDAyY0prZ2hGT25JWk0wY01fS3VaOUt0UVJWd3dtMVgySmRObXctQVR6b05ib2c3R09MRWFxQWFCWG1fMGlCTEd0UF94ODhzS25IU0hpTnhKLTgzTFhYbEVUVF84SGVIeXN6akljUnhIVnVpUVVydkgyMFdFN0xSVnUwTXBJMmtoai1ub0ZGcGVBT2M3UTY1ZDg0UmV6SnVZa1BqZENmRVE?oc=5,1,1eb8b70a49bad0164a9d1cbea90f1ac3a0496770,-
2026-08-19,Hindi,train,,,,,Male,,Fatal,Dainik Bhaskar,"गश्त पर निकले दरोगा की सड़क हादसे में मौत: कांस्टेबल गंभीर, अयोध्या में ट्रेलर से टकराई पुलिस कार - Dainik Bhaskar","Inspector on patrol dies in road accident: Constable Gambhir, police car collides with trailer in Ayodhya - Dainik Bhaskar
Inspector on patrol dies in road accident: Constable Gambhir, police car collides with trailer in Ayodhya Dainik Bhaskar",Ayodhya,,10,,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300,https://news.google.com/rss/articles/CBMi1AFBVV95cUxOVldnWkJQWlpJRUMtODBQQmprYWdLUjNfTWg1WUQxOWVhalNiVmlHNzNPRGQ5aW5nTm5WaHFkd3NfLVBfMTJicFBZX2Q2U3MzWjduYUFMc29qUVNkYThaTHJhUV9pWVVmQzRwa3FUWUJoMFlzMnM5MlpUQXMxT1M3UTRZa2hfNHJCMmtSTXI3eHJHb2hCYXdDOVpDa0hIWW9TQ3U1TVlQb2hQS3Q4MmtlVmx1TmxUN0VLWkhhdUNoVUNGa2dGRkw5aE84RmhrMWcxR1VjadIB2gFBVV95cUxPM2taV2ZPbEdWSnhITkJOak10dzBRdmtzSWdQZFhGM0cwb2EtOUpwR0NMQURfeERBckhuN2h5ajdzLW41d2FsVVR3NnlWSkxtOHZZaG4tQlVXRUY4dFNzNXFfZGx4OWdXenppOVVtRVF6TWZTVzF2MlczaUFpTVkydEF2bFpWREliQ0JodU5hQXlxbkplclEtNVdEVTNEV0NPUC1oeVAwV0VTSWpUV2J0RHFYM2hOaDdRZFhQV0ZUZ2JnZklpZlltZVpGZ0YxcnFLN0gweVBVd2l6Zw?oc=5,1,af90d56e9b3f123af5ced1b87e98af0a58a0797c,-
2026-08-19,English,roadway,,,,,Female,,Fatal,Mid-Day,"Maharashtra: Two women killed, 31 injured as MSRTC bus collides with truck in Nashik - Mid-Day","Maharashtra: Two women killed, 31 injured as MSRTC bus collides with truck in Nashik - Mid-Day",Maharashtra; Nashik,,2,31,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300,https://news.google.com/rss/articles/CBMi8gFBVV95cUxOdzJIb1gtNzR5NUNubGtNbVFxQ2R0akdUMDNkVWRSREZRYW5BR1NhbVRJc1Z1cFYzaFQ5WU05VFV1V1RNVDJXbmVuSmpkdXFPcnN2MGdCek9lcTJIN3hxOUE1TTVnZXZQVnp1MHpST1JvRlZ2QnJMYjVhbUNBVUMySjNPTC1ZV1UxSXFhcm90X1NyRy1zM3BUWXR2YmszQ1FIcnMxVmR4Sm9TendhYzNpNVlHZFFfbm1CaGxrcGQ3bjhWcHZYbUI5dFBMX3JOSGxxdldLM3BUbHZfcFpweHpLZnZ3TjhOZVhnQnBnekpUWWYxUdIB9wFBVV95cUxQUEFTQ0hRcWZUR29zZVlRZnB5M3gtTmcwZEQxVHRKd1RvSXZmQXlHRTFBNEhYeWFpMk1SeWtoMVluSG5VRF9ycUxBRFEyRVlzTlRZNFVTaVRCeDdyWUFmUTE0UmN1TFJONmZ4WlZFT2hXYzlBcmFRX29ta2wwSTRoQ0NCbmNaTW1GRXUzT3VYZVFPTkgyekxNQUhPakFFR2dLcnVDU25IMkdCNF9aYTlENkpvMHlSYkNPbVFiSnJkVHZLNWk4a2xJSEpBWmg2RFBfN0ZTMFBndXlNR3dNczVwNGRSTEVyajVDMnlOVzFEYV9rZGQ5UWtF?oc=5,1,1eb8b70a49bad0164a9d1cbea90f1ac3a0496770,-
2026-08-19,English,aviation,,,,,,,Not stated,timesofindia.indiatimes.com,UK couple die of major impact trauma after light plane crashes in remote Wales area - timesofindia.indiatimes.com,UK couple die of major impact trauma after light plane crashes in remote Wales area - timesofindia.indiatimes.com,,,,,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300,https://news.google.com/rss/articles/CBMi6gFBVV95cUxONUttaFRMVVNxOU5xZ0Z2eW16RzNMZU9raHFBZ2U1Vy1NbHA3SkpfblgxVGw4MDRsYklTY1ctMTFYRjlzOVhEUzlHUndWOVRwTkFiMlNXTVRSdF9uTEpMYThfUHJScmtZUDJUSU9iSXZZakNTTUJTOXJ3WjRWVHV0NmtZZ3Jnd2lseUp4M2RNdWpkVFhaTlh0RUZ5Tng1UFQ1ZFJZLThuelhONE1BQXBJRzNjM1g5aFExZGlFUlQ5RDNycDgtSzRjcVhxRW91WlNFZDdkd3h2YWFRbDVsQlBwT19JLWp5WGdyemfSAe8BQVVfeXFMTVY1eHR1N09ETUpmMENQR1FvQUpPeHlhakpoZk9YVm1vZmh1Z3FUdzJNYlpFNWVVT1NfZTViMnRGM1dSajJ6ZTBuRzJ5dmgtTHpxdkhkLWwwSHJjU2lfMk5LY2F5RU0xVXBUeng3Wl9SbHVEYTZWUHphTFhNZnRtSm1ySUVuS2FkSXY3a2xEaVltUEZFWVRPM0VHN1FmeWZXS05MMnNtNXpUQ3pPWVNsZnF0a21ETVRXMnFyeGN3VVdsYzF5YVE0X0ZKdWVtWS1ZRHpVeUZ6QWR4UzVZYXRVSk8zWEtrMFEtY1dBeFlzV2c?oc=5,0,a25949af4fa00a6d07590228ddc3cc4e6cf97c53,-
2026-08-19,English,roadway,,,,,,,Not stated,,Bengaluru: Lorry cleaner stabbed to death over drinking water dispute,Bengaluru: Lorry cleaner stabbed to death over drinking water dispute,Bengaluru,,,,https://th-i.thgim.com/public/incoming/9fvc7o/article71365973.ece/alternates/LANDSCAPE_1200/iStock-1401717334%203.jpg,https://www.thehindu.com/news/national/karnataka/bengaluru-lorry-cleaner-stabbed-to-death-over-drinking-water-dispute/article71364330.ece,0,73581769693a37401677fe4e1855e9af6621f0f2,"A lorry cleaner in Bengaluru was fatally stabbed over a drinking water dispute, leading to the arrest of the attacker. Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription The View From India Looking at World Affairs from the Indian perspective."
2026-08-19,Hindi,train,,,,,,,Not stated,News18 Hindi,"तेज रफ्तार से आगे बढ़ रही थी ट्रेन, तभी रेलवे ट्रैक पर आ गया हाथियों का झुंड, फिर... - News18 Hindi","The train was moving at high speed, suddenly a herd of elephants came on the railway track, then... - News18 Hindi
The train was moving at high speed, suddenly a herd of elephants came on the railway track, then...    News18 Hindi",,,,,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300,https://news.google.com/rss/articles/CBMi2AFBVV95cUxPSUJQSU9KcTQxS2xWNEtNNU95NGxHSEE4Z0FBUzBqTUdTc3BOSmJnNjEyd2RFc2dTamJMbkk2WXRSN3NzWkZHWHpRdFlpNXE5OTNyejBtSVFjUWhucW5wRVhiRDFsb3l3MmZGTlk5TkR3eF9jNlFObFdlaHBQZUVJbVZyQTNKYjVjTFNzOUFiT1U5UGVCRzlMeVdRMlJ5YjZyMHI5b0YyTHoxM0E5bGhNMllXVUxhVTVCeWlOUDRQMzdQX2hLODdfWmVwVnBjWGloY21udDFtZGPSAdgBQVVfeXFMT0lCUElPSnE0MUtsVjRLTTVPeTRsR0hBOGdBQVMwak1HU3NwTkpiZzYxMndkRXNnU2piTG5JNll0Ujdzc1pGR1h6UXRZaTVxOTkzcnowbUlRY1FobnFucEVYYkQxbG95dzJmRk5ZOU5Ed3hfYzZRTmxXZWhwUGVFSW1WckEzSmI1Y0xTczlBYk9VOVBlQkc5THlXUTJSeWI2cjByOW9GMkx6MTNBOWxoTTJZV1VMYVU1QnlpTlA0UDM3UF9oSzg3X1plcFZwY1hpaGNtbnQxbWRj?oc=5,0,79358260bdfc702988b77d52ec21e8c063c864fa,-
2026-08-19,English,roadway,,TGSRTC addresses bus stop additions and navigation challenges due to KBR Park traffic restrictions to enhance passenger connectivity.,,,,,Not stated,,"New bus stops, route changes planned after KBR Park one-way traffic rule","New bus stops, route changes planned after KBR Park one-way traffic rule",,,,,https://th-i.thgim.com/public/news/national/telangana/hzvpkl/article71365666.ece/alternates/LANDSCAPE_1200/KBR%20PARK%20BUS.jpeg,https://www.thehindu.com/news/cities/Hyderabad/new-bus-stops-route-changes-planned-after-kbr-park-one-way-traffic-rule/article71365623.ece,0,a6f677eef8e1dd1a3904f338e1d86cf307fa0571,"TGSRTC addresses bus stop additions and navigation challenges due to KBR Park traffic restrictions to enhance passenger connectivity. Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription The View From India Looking at World Affairs from the Indian perspective."
2026-08-19,English,others,fire,,,,,,Fatal,,"Kolkata hotel fire kills nine, including Bangladeshi nationals","Kolkata hotel fire kills nine, including Bangladeshi nationals",Kolkata,,9,,https://th-i.thgim.com/public/news/national/doi8sf/article71363202.ece/alternates/LANDSCAPE_1200/kolkata%20hotel%20fire.png,https://www.thehindu.com/news/cities/kolkata/kolkata-hotel-fire-deaths-bangladesh-nationals-august-19-2026/article71363189.ece,1,c744a251e66fe78086930c009e25b896f6cca2b1,"A devastating hotel fire in Kolkata claims nine lives, injures several, and prompts urgent rescue operations amid smoke challenges. Account subscription benefits alongside Premium Stories, Editorials, Opinions and more. Unlock these with Subscription The View From India Looking at World Affairs from the Indian perspective."
2026-08-19,Hindi,train,,,,,,,Fatal,Jagran,"हाता-चाईबासा मार्ग पर बड़ा हादसा: हाट से लौट रहे 4 दोस्तों की बाइक ट्रेलर से टकराई, एक की मौत; 3 अस्पताल में भर्ती - rajnagar biketrailer crash 1 dead 3 injured on hatachaibasa road - Jagran","Major accident on Hata-Chaibasa road: Bike of 4 friends returning from the market collided with a trailer, one died; 3 hospitalized - rajnagar biketrailer crash 1 dead 3 injured on hatachaibasa road - Jagran
Major accident on Hata-Chaibasa road: Bike of 4 friends returning from the market collided with a trailer, one died; 3 hospitalized - rajnagar biketrailer crash 1 dead 3 injured on hatachaibasa road    Jagran",Chaibasa,,1,3,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300,https://news.google.com/rss/articles/CBMivgFBVV95cUxQTERfV29lbWtKelVCTWtsLXJ0UjZVSVhudE81NWUxOUN2a19oVkpZcW8wdlBNMC1PTHd0SWxkWmZBMUZhWjN6WnFKY3RKdDJmZWJWUG9rV3E2SGxJaHM0ZUtKS090Y0FMZUpNN0FqSl9mOXZ0bWhYVnItUk1WTzVDblA0dGVUSmhSNE5zTHlodkVNRk01TjRnSW1HY2lVYTB3MkZqbFdYUXpZV295WXdiV2duMmpmeUR5VXBncFB3?oc=5,0,8fe8944b540cf52429e38dd2e8bf4f60ab44a7e3,-
2026-08-19,Hindi,roadway,,,,,,,Fatal,ETV Bharat,"कवर्धा में बाइक और स्कूटी की टक्कर, हादसे में तीन लोगों की मौत - ETV Bharat","Bike and scooter collide in Kawardha, three people died in the accident - ETV Bharat
Bike and scooter collide in Kawardha, three people died in the accident    ETV Bharat",Kawardha,,3,,https://lh3.googleusercontent.com/J6_coFbogxhRI9iM864NL_liGXvsQp2AupsKei7z0cNNfDvGUmWUy20nuUhkREQyrpY4bEeIBuc=s0-w300,https://news.google.com/rss/articles/CBMiygFBVV95cUxONU5TMXdDSXFncGM4TVo1RlB2VHNfVDhiak9ZZlZ4aGd2Mll6aGRBUG1VNlFKWUhpV1lTdXhjMnBXZlVvOWlsdkZYeXFTMHduRGJjdThOMnFTV1oxTnhTVm42U1V5Tnp5VGpOUWNaMmJzNUlvQTg0RFpydmtnRUFXVkdOOWo3TENIc05nUV9lY0tYcXlETTlmc1dpcHlLTDhWVnZfdk9mRmxmblg4YlFmSXZUNTk5T0xTQm5veWZlUy1GWnJ1dFp0amN30gHPAUFVX3lxTE9rSG5iOWVkTEttbHdfMjE3ZFA0Q3lsWHowb2FBNW9OM1FsMzJfSkVkWFFZYk4tdm43U1I5WjZPdTN0QlJNSHB4VzVCeFRQN25JVjZsa042M1daTklQUFVUZUZrYWI3S0NwSm1Na2trVlNNT1J6bmxFVGY0U2RXQm9GY2lCdjBJODVvaWhHTjFyd1FFTnBaTDZpTlBTODJ2WERNcmdoZnp6bUZna3pEaDB4bU5EeWE5R09DVmgyMlRfcGdQZ1V3REZMcUpIMnJsVQ?oc=5,0,883e61316a62090a42f25f22826eb569cfc7f2b5,-
