period,category,unique_events
2026-08,bus,210
2026-08,cargo,47
2026-08,construction_infra,43
2026-08,flight,29
2026-08,industrial,22
2026-08,pedestrian,6
2026-08,traffic,255
2026-08,train,101
2026-07,bus,164
2026-07,cargo,32
2026-07,construction_infra,109
2026-07,flight,21
2026-07,industrial,57
2026-07,pedestrian,4
2026-07,traffic,76
2026-07,train,50
2026-06,bus,120
2026-06,cargo,29
2026-06,construction_infra,50
2026-06,flight,59
2026-06,industrial,72
2026-06,pedestrian,8
2026-06,traffic,55
2026-06,train,49
2026-05,bus,60
2026-05,cargo,12
2026-05,construction_infra,91
2026-05,flight,8
2026-05,industrial,32
2026-05,pedestrian,6
2026-05,traffic,35
2026-05,train,22
2026-04,bus,25
2026-04,cargo,14
2026-04,construction_infra,15
2026-04,flight,4
2026-04,industrial,39
2026-04,pedestrian,1
2026-04,traffic,14
2026-04,train,13
2026-03,bus,21
2026-03,cargo,2
2026-03,construction_infra,19
2026-03,flight,4
2026-03,industrial,14
2026-03,pedestrian,2
2026-03,traffic,14
2026-03,train,5
2026-02,bus,19
2026-02,cargo,5
2026-02,construction_infra,10
2026-02,flight,8
2026-02,industrial,10
2026-02,pedestrian,2
2026-02,traffic,20
2026-02,train,4
2026-01,bus,8
2026-01,cargo,3
2026-01,construction_infra,3
2026-01,flight,12
2026-01,industrial,11
2026-01,pedestrian,3
2026-01,traffic,14
2026-01,train,8
2025-12,bus,8
2025-12,cargo,2
2025-12,construction_infra,3
2025-12,flight,1
2025-12,industrial,2
2025-12,pedestrian,3
2025-12,traffic,13
2025-12,train,14
2025-11,bus,8
2025-11,cargo,7
2025-11,construction_infra,1
2025-11,flight,1
2025-11,industrial,6
2025-11,pedestrian,2
2025-11,traffic,5
2025-11,train,5
2025-10,bus,4
2025-10,cargo,1
2025-10,construction_infra,4
2025-10,flight,1
2025-10,industrial,10
2025-10,pedestrian,2
2025-10,traffic,7
2025-10,train,4
2025-09,bus,2
2025-09,cargo,1
2025-09,construction_infra,3
2025-09,industrial,8
2025-09,traffic,2
2025-08,bus,2
2025-08,cargo,1
2025-08,construction_infra,7
2025-08,industrial,3
2025-08,pedestrian,2
2025-08,traffic,5
2025-08,train,4
2025-07,bus,2
2025-07,construction_infra,21
2025-07,industrial,6
2025-07,pedestrian,3
2025-07,traffic,1
2025-07,train,1
2025-06,bus,1
2025-06,cargo,1
2025-06,construction_infra,3
2025-06,flight,2
2025-06,industrial,8
2025-06,train,2
2025-05,bus,1
2025-05,construction_infra,1
2025-05,industrial,1
2025-05,pedestrian,1
2025-05,traffic,2
2025-05,train,1
2025-04,construction_infra,2
2025-04,industrial,6
2025-04,traffic,1
2025-03,bus,1
2025-03,construction_infra,4
2025-03,pedestrian,1
2025-03,traffic,1
2025-03,train,1
2025-02,bus,2
2025-02,industrial,1
2025-02,pedestrian,1
2025-02,traffic,1
2025-02,train,1
2025-01,bus,2
2025-01,construction_infra,5
2025-01,industrial,3
2025-01,traffic,1
2025-01,train,1
2024-12,bus,1
2024-12,cargo,1
2024-12,construction_infra,4
2024-12,industrial,1
2024-12,pedestrian,1
2024-12,traffic,3
2024-12,train,1
2024-11,bus,3
2024-11,construction_infra,2
2024-11,industrial,2
2024-11,traffic,1
2024-11,train,2
2024-10,bus,1
2024-10,construction_infra,4
2024-10,industrial,2
2024-10,train,5
2024-09,bus,5
2024-09,cargo,1
2024-09,construction_infra,2
2024-09,industrial,2
2024-09,traffic,2
2024-09,train,2
2024-08,bus,3
2024-08,cargo,1
2024-08,construction_infra,1
2024-08,industrial,6
2024-08,traffic,3
2024-08,train,5
2024-07,bus,1
2024-07,construction_infra,6
2024-07,industrial,2
2024-07,traffic,4
2024-07,train,12
2024-06,bus,2
2024-06,industrial,1
2024-06,traffic,1
2024-06,train,3
2024-05,industrial,2
2024-05,traffic,1
2024-05,train,1
2024-04,industrial,4
2024-04,traffic,2
2024-03,bus,1
2024-03,industrial,1
2024-03,pedestrian,1
2024-02,construction_infra,1
2024-02,industrial,4
2024-02,traffic,3
2024-01,industrial,2
2024-01,traffic,3
2024-01,train,1
2023-12,industrial,3
2023-11,industrial,1
2023-11,pedestrian,1
2023-11,traffic,1
2023-10,industrial,3
2023-10,traffic,1
2023-10,train,8
2023-09,bus,2
2023-09,industrial,2
2023-08,bus,2
2023-08,industrial,1
2023-08,traffic,2
2023-07,bus,1
2023-07,construction_infra,3
2023-07,industrial,2
2023-07,train,3
2023-06,construction_infra,2
2023-06,traffic,1
2023-06,train,2
2023-05,bus,1
2023-05,cargo,1
2023-05,construction_infra,1
2023-04,construction_infra,1
2023-04,industrial,3
2023-03,bus,1
2023-03,construction_infra,1
2023-03,industrial,1
2023-02,construction_infra,1
2023-02,traffic,3
2023-01,construction_infra,2
2022-12,bus,1
2022-12,cargo,1
2022-11,construction_infra,1
2022-11,industrial,3
2022-11,train,1
2022-10,construction_infra,1
2022-10,industrial,1
2022-09,construction_infra,2
2022-09,industrial,1
2022-09,traffic,1
2022-08,industrial,2
2022-07,construction_infra,1
2022-07,industrial,1
2022-06,industrial,1
2022-05,industrial,1
2022-05,traffic,2
2022-04,construction_infra,1
2022-04,industrial,2
2022-03,cargo,1
2022-03,industrial,1
2022-02,industrial,1
2022-02,traffic,1
2021-12,construction_infra,1
2021-11,bus,1
2021-11,cargo,1
2021-11,construction_infra,1
2021-10,industrial,1
2021-09,construction_infra,1
2021-08,industrial,1
2021-07,cargo,1
2021-07,industrial,1
2021-07,traffic,1
2021-05,cargo,1
2021-03,construction_infra,1
2021-03,industrial,1
2021-02,construction_infra,1
2020-12,construction_infra,1
2020-11,industrial,1
2020-10,construction_infra,1
2020-10,train,1
2020-09,cargo,1
2020-07,train,1
2020-05,industrial,1
2020-03,industrial,1
2020-02,industrial,1
2020-01,industrial,1
2019-11,construction_infra,1
2019-09,construction_infra,1
2019-08,construction_infra,1
2019-07,construction_infra,2
2019-06,industrial,1
2019-04,construction_infra,1
2018-08,construction_infra,2
2018-07,construction_infra,1
2018-07,train,1
2018-05,industrial,1
2018-02,construction_infra,1
2018-01,industrial,1
2017-08,construction_infra,1
2017-06,construction_infra,1
2017-01,construction_infra,1
2016-12,construction_infra,2
2016-12,train,1
2016-11,construction_infra,2
2016-05,construction_infra,3
2016-05,industrial,1
2012-09,industrial,1
